,Date,Team,Normalized Offensive Rating,Normalized Defensive Rating
0,2024-10-24,Atlanta Hawks,0.5641025641025641,0.6048951048951049
1,2024-10-24,Boston Celtics,0.9059829059829064,0.6346153846153847
2,2024-10-24,Brooklyn Nets,0.4829059829059829,0.5384615384615385
3,2024-10-24,Charlotte Hornets,0.5705128205128205,0.6241258741258741
4,2024-10-24,Chicago Bulls,0.3183760683760683,0.5454545454545454
5,2024-10-24,Cleveland Cavaliers,1.0,0.7377622377622377
6,2024-10-24,Dallas Mavericks,0.5876068376068379,0.7220279720279721
7,2024-10-24,Denver Nuggets,0.0,0.7167832167832169
8,2024-10-24,Detroit Pistons,0.4743589743589743,0.5454545454545454
9,2024-10-24,Golden State Warriors,0.8653846153846158,0.8531468531468532
10,2024-10-24,Houston Rockets,0.4594017094017095,0.5332167832167833
11,2024-10-24,Indiana Pacers,0.5555555555555558,0.611888111888112
12,2024-10-24,LA Clippers,0.2585470085470085,0.7412587412587412
13,2024-10-24,Los Angeles Lakers,0.5961538461538461,0.6206293706293707
14,2024-10-24,Memphis Grizzlies,0.685897435897436,0.4527972027972027
15,2024-10-24,Miami Heat,0.2585470085470085,0.4667832167832166
16,2024-10-24,Milwaukee Bucks,0.7200854700854701,0.6311188811188811
17,2024-10-24,Minnesota Timberwolves,0.532051282051282,0.5402097902097902
18,2024-10-24,New Orleans Pelicans,0.5555555555555558,0.7395104895104896
19,2024-10-24,New York Knicks,0.6816239316239316,0.0
20,2024-10-24,Oklahoma City Thunder,0.346153846153846,1.0
21,2024-10-24,Orlando Magic,0.651709401709402,0.7884615384615385
22,2024-10-24,Philadelphia 76ers,0.4508547008547009,0.4108391608391609
23,2024-10-24,Phoenix Suns,0.3162393162393163,0.7884615384615385
24,2024-10-24,Portland Trail Blazers,0.1794871794871793,0.2919580419580418
25,2024-10-24,Sacramento Kings,0.52991452991453,0.5122377622377623
26,2024-10-24,San Antonio Spurs,0.3397435897435897,0.5192307692307692
27,2024-10-24,Toronto Raptors,0.3205128205128206,0.181818181818182
28,2024-10-24,Utah Jazz,0.668803418803419,0.4388111888111887
29,2024-10-24,Washington Wizards,0.2371794871794871,0.486013986013986
30,2024-10-25,Atlanta Hawks,0.6792452830188678,0.2426035502958581
31,2024-10-25,Boston Celtics,1.0,0.381656804733728
32,2024-10-25,Brooklyn Nets,0.436320754716981,0.1597633136094676
33,2024-10-25,Charlotte Hornets,0.6533018867924525,0.2159763313609466
34,2024-10-25,Chicago Bulls,0.5778301886792452,0.227810650887574
35,2024-10-25,Cleveland Cavaliers,0.8632075471698111,0.5828402366863907
36,2024-10-25,Dallas Mavericks,0.6485849056603773,0.5295857988165682
37,2024-10-25,Denver Nuggets,0.0,0.5207100591715978
38,2024-10-25,Detroit Pistons,0.4150943396226413,0.227810650887574
39,2024-10-25,Golden State Warriors,0.8962264150943395,0.9497041420118346
40,2024-10-25,Houston Rockets,0.6084905660377357,0.437869822485207
41,2024-10-25,Indiana Pacers,0.4504716981132073,0.0976331360946745
42,2024-10-25,LA Clippers,0.2853773584905659,0.5621301775147929
43,2024-10-25,Los Angeles Lakers,0.731132075471698,0.2958579881656805
44,2024-10-25,Memphis Grizzlies,0.5188679245283018,0.1005917159763315
45,2024-10-25,Miami Heat,0.2853773584905659,0.0976331360946745
46,2024-10-25,Milwaukee Bucks,0.7028301886792451,0.1745562130177517
47,2024-10-25,Minnesota Timberwolves,0.5872641509433959,0.2218934911242603
48,2024-10-25,New Orleans Pelicans,0.4882075471698109,0.5857988165680472
49,2024-10-25,New York Knicks,0.8372641509433961,0.0
50,2024-10-25,Oklahoma City Thunder,0.3820754716981129,1.0
51,2024-10-25,Orlando Magic,0.7193396226415093,0.6124260355029587
52,2024-10-25,Philadelphia 76ers,0.4481132075471697,0.1183431952662722
53,2024-10-25,Phoenix Suns,0.4716981132075471,0.3372781065088759
54,2024-10-25,Portland Trail Blazers,0.2523584905660374,0.1656804733727813
55,2024-10-25,Sacramento Kings,0.5849056603773584,0.1745562130177517
56,2024-10-25,San Antonio Spurs,0.3749999999999997,0.1863905325443786
57,2024-10-25,Toronto Raptors,0.4811320754716978,0.059171597633136
58,2024-10-25,Utah Jazz,0.3089622641509432,0.002958579881657
59,2024-10-25,Washington Wizards,0.2617924528301885,0.1301775147928996
60,2024-10-26,Atlanta Hawks,0.6107594936708861,0.2379679144385027
61,2024-10-26,Boston Celtics,1.0,0.2486631016042783
62,2024-10-26,Brooklyn Nets,0.2848101265822785,0.163101604278075
63,2024-10-26,Charlotte Hornets,0.4968354430379744,0.1951871657754013
64,2024-10-26,Chicago Bulls,0.1487341772151895,0.3636363636363637
65,2024-10-26,Cleveland Cavaliers,0.8892405063291139,0.4598930481283422
66,2024-10-26,Dallas Mavericks,0.3955696202531646,0.320855614973262
67,2024-10-26,Denver Nuggets,0.0,0.3502673796791445
68,2024-10-26,Detroit Pistons,0.4240506329113922,0.1149732620320858
69,2024-10-26,Golden State Warriors,0.9018987341772152,0.8770053475935831
70,2024-10-26,Houston Rockets,0.4936708860759493,0.358288770053476
71,2024-10-26,Indiana Pacers,0.3037974683544303,0.106951871657754
72,2024-10-26,LA Clippers,0.2943037974683544,0.4705882352941177
73,2024-10-26,Los Angeles Lakers,0.7183544303797466,0.2085561497326206
74,2024-10-26,Memphis Grizzlies,0.4810126582278478,0.2112299465240642
75,2024-10-26,Miami Heat,0.3417721518987341,0.2433155080213905
76,2024-10-26,Milwaukee Bucks,0.6424050632911392,0.1764705882352942
77,2024-10-26,Minnesota Timberwolves,0.4683544303797468,0.3368983957219252
78,2024-10-26,New Orleans Pelicans,0.3544303797468351,0.5481283422459893
79,2024-10-26,New York Knicks,0.8227848101265824,0.018716577540107
80,2024-10-26,Oklahoma City Thunder,0.1265822784810127,1.0
81,2024-10-26,Orlando Magic,0.5348101265822783,0.411764705882353
82,2024-10-26,Philadelphia 76ers,0.3006329113924051,0.125668449197861
83,2024-10-26,Phoenix Suns,0.4272151898734178,0.377005347593583
84,2024-10-26,Portland Trail Blazers,0.0379746835443034,0.1684491978609628
85,2024-10-26,Sacramento Kings,0.5981012658227847,0.0855614973262032
86,2024-10-26,San Antonio Spurs,0.35126582278481,0.2352941176470591
87,2024-10-26,Toronto Raptors,0.2689873417721519,0.1497326203208557
88,2024-10-26,Utah Jazz,0.1139240506329112,0.0213903743315511
89,2024-10-26,Washington Wizards,0.2499999999999997,0.0
90,2024-10-27,Atlanta Hawks,0.4683544303797468,0.1582278481012657
91,2024-10-27,Boston Celtics,1.0,0.2943037974683546
92,2024-10-27,Brooklyn Nets,0.3860759493670883,0.3322784810126581
93,2024-10-27,Charlotte Hornets,0.4968354430379744,0.2310126582278484
94,2024-10-27,Chicago Bulls,0.1487341772151895,0.4303797468354432
95,2024-10-27,Cleveland Cavaliers,0.8892405063291139,0.5443037974683544
96,2024-10-27,Dallas Mavericks,0.3955696202531646,0.3797468354430379
97,2024-10-27,Denver Nuggets,0.0,0.4145569620253166
98,2024-10-27,Detroit Pistons,0.4240506329113922,0.1360759493670889
99,2024-10-27,Golden State Warriors,0.6329113924050634,0.8386075949367087
100,2024-10-27,Houston Rockets,0.4936708860759493,0.4240506329113924
101,2024-10-27,Indiana Pacers,0.2879746835443036,0.2405063291139242
102,2024-10-27,LA Clippers,0.3164556962025317,0.6075949367088607
103,2024-10-27,Los Angeles Lakers,0.7183544303797466,0.246835443037975
104,2024-10-27,Memphis Grizzlies,0.4810126582278478,0.2500000000000001
105,2024-10-27,Miami Heat,0.3417721518987341,0.287974683544304
106,2024-10-27,Milwaukee Bucks,0.4936708860759493,0.2056962025316455
107,2024-10-27,Minnesota Timberwolves,0.4683544303797468,0.39873417721519
108,2024-10-27,New Orleans Pelicans,0.3291139240506327,0.3797468354430379
109,2024-10-27,New York Knicks,0.8227848101265824,0.0221518987341773
110,2024-10-27,Oklahoma City Thunder,0.3734177215189873,1.0
111,2024-10-27,Orlando Magic,0.5348101265822783,0.4873417721518988
112,2024-10-27,Philadelphia 76ers,0.3164556962025317,0.2816455696202532
113,2024-10-27,Phoenix Suns,0.4272151898734178,0.4462025316455698
114,2024-10-27,Portland Trail Blazers,0.3386075949367085,0.2974683544303799
115,2024-10-27,Sacramento Kings,0.5981012658227847,0.1012658227848102
116,2024-10-27,San Antonio Spurs,0.35126582278481,0.2784810126582281
117,2024-10-27,Toronto Raptors,0.2689873417721519,0.1772151898734179
118,2024-10-27,Utah Jazz,0.1139240506329112,0.0253164556962028
119,2024-10-27,Washington Wizards,0.2499999999999997,0.0
120,2024-10-28,Atlanta Hawks,0.4462151394422313,0.0744680851063828
121,2024-10-28,Boston Celtics,1.0,0.2765957446808509
122,2024-10-28,Brooklyn Nets,0.342629482071713,0.2517730496453898
123,2024-10-28,Charlotte Hornets,0.4820717131474102,0.1382978723404256
124,2024-10-28,Chicago Bulls,0.2151394422310759,0.2801418439716313
125,2024-10-28,Cleveland Cavaliers,0.848605577689243,0.4609929078014184
126,2024-10-28,Dallas Mavericks,0.3545816733067732,0.4148936170212767
127,2024-10-28,Denver Nuggets,0.0756972111553787,0.3404255319148933
128,2024-10-28,Detroit Pistons,0.306772908366534,0.0992907801418438
129,2024-10-28,Golden State Warriors,0.6533864541832674,0.8191489361702124
130,2024-10-28,Houston Rockets,0.4980079681274901,0.3687943262411349
131,2024-10-28,Indiana Pacers,0.2908366533864541,0.1134751773049645
132,2024-10-28,LA Clippers,0.2549800796812752,0.5602836879432622
133,2024-10-28,Los Angeles Lakers,0.649402390438247,0.1666666666666667
134,2024-10-28,Memphis Grizzlies,0.5179282868525897,0.1099290780141841
135,2024-10-28,Miami Heat,0.314741035856574,0.3333333333333335
136,2024-10-28,Milwaukee Bucks,0.406374501992032,0.0921985815602834
137,2024-10-28,Minnesota Timberwolves,0.4462151394422313,0.3262411347517731
138,2024-10-28,New Orleans Pelicans,0.2709163346613545,0.304964539007092
139,2024-10-28,New York Knicks,0.6892430278884463,0.0177304964539006
140,2024-10-28,Oklahoma City Thunder,0.3266932270916337,1.0
141,2024-10-28,Orlando Magic,0.5776892430278886,0.3652482269503545
142,2024-10-28,Philadelphia 76ers,0.2549800796812752,0.1950354609929078
143,2024-10-28,Phoenix Suns,0.4183266932270917,0.3794326241134752
144,2024-10-28,Portland Trail Blazers,0.207171314741036,0.2021276595744682
145,2024-10-28,Sacramento Kings,0.5856573705179285,0.2092198581560285
146,2024-10-28,San Antonio Spurs,0.2828685258964142,0.1737588652482271
147,2024-10-28,Toronto Raptors,0.2350597609561756,0.120567375886525
148,2024-10-28,Utah Jazz,0.0,0.0390070921985813
149,2024-10-28,Washington Wizards,0.306772908366534,0.0
150,2024-10-29,Atlanta Hawks,0.4633204633204634,0.0744680851063828
151,2024-10-29,Boston Celtics,1.0,0.2765957446808509
152,2024-10-29,Brooklyn Nets,0.5791505791505793,0.0212765957446806
153,2024-10-29,Charlotte Hornets,0.4980694980694979,0.1382978723404256
154,2024-10-29,Chicago Bulls,0.2393822393822395,0.2801418439716313
155,2024-10-29,Cleveland Cavaliers,0.8532818532818534,0.4609929078014184
156,2024-10-29,Dallas Mavericks,0.4942084942084943,0.3262411347517731
157,2024-10-29,Denver Nuggets,0.44015444015444,0.1418439716312056
158,2024-10-29,Detroit Pistons,0.3281853281853283,0.0992907801418438
159,2024-10-29,Golden State Warriors,0.7683397683397682,0.698581560283688
160,2024-10-29,Houston Rockets,0.5135135135135136,0.3687943262411349
161,2024-10-29,Indiana Pacers,0.3127413127413126,0.1134751773049645
162,2024-10-29,LA Clippers,0.2779922779922782,0.5602836879432622
163,2024-10-29,Los Angeles Lakers,0.6602316602316602,0.1666666666666667
164,2024-10-29,Memphis Grizzlies,0.5328185328185329,0.1099290780141841
165,2024-10-29,Miami Heat,0.3359073359073361,0.3333333333333335
166,2024-10-29,Milwaukee Bucks,0.4247104247104248,0.0921985815602834
167,2024-10-29,Minnesota Timberwolves,0.5135135135135136,0.2163120567375884
168,2024-10-29,New Orleans Pelicans,0.3166023166023168,0.1453900709219856
169,2024-10-29,New York Knicks,0.6988416988416989,0.0177304964539006
170,2024-10-29,Oklahoma City Thunder,0.3474903474903476,1.0
171,2024-10-29,Orlando Magic,0.5907335907335908,0.3652482269503545
172,2024-10-29,Philadelphia 76ers,0.2779922779922782,0.1950354609929078
173,2024-10-29,Phoenix Suns,0.4362934362934363,0.3794326241134752
174,2024-10-29,Portland Trail Blazers,0.2316602316602317,0.2021276595744682
175,2024-10-29,Sacramento Kings,0.5945945945945945,0.3404255319148933
176,2024-10-29,San Antonio Spurs,0.3050193050193048,0.1737588652482271
177,2024-10-29,Toronto Raptors,0.2586872586872589,0.120567375886525
178,2024-10-29,Utah Jazz,0.0,0.0638297872340424
179,2024-10-29,Washington Wizards,0.3281853281853283,0.0
180,2024-10-30,Atlanta Hawks,0.5258620689655173,0.0215053763440863
181,2024-10-30,Boston Celtics,0.9870689655172408,0.2759856630824373
182,2024-10-30,Brooklyn Nets,0.6853448275862064,0.1075268817204301
183,2024-10-30,Charlotte Hornets,0.7887931034482757,0.0179211469534049
184,2024-10-30,Chicago Bulls,0.2155172413793103,0.3870967741935481
185,2024-10-30,Cleveland Cavaliers,1.0,0.4838709677419354
186,2024-10-30,Dallas Mavericks,0.5517241379310343,0.3369175627240145
187,2024-10-30,Denver Nuggets,0.4913793103448272,0.1505376344086022
188,2024-10-30,Detroit Pistons,0.4094827586206896,0.1935483870967743
189,2024-10-30,Golden State Warriors,0.7931034482758617,0.7455197132616485
190,2024-10-30,Houston Rockets,0.5732758620689653,0.3799283154121866
191,2024-10-30,Indiana Pacers,0.3922413793103445,0.1469534050179214
192,2024-10-30,LA Clippers,0.353448275862069,0.5053763440860217
193,2024-10-30,Los Angeles Lakers,0.6249999999999999,0.0752688172043013
194,2024-10-30,Memphis Grizzlies,0.5387931034482758,0.089605734767025
195,2024-10-30,Miami Heat,0.4137931034482756,0.2222222222222223
196,2024-10-30,Milwaukee Bucks,0.4741379310344827,0.1003584229390679
197,2024-10-30,Minnesota Timberwolves,0.5732758620689653,0.225806451612903
198,2024-10-30,New Orleans Pelicans,0.2413793103448273,0.1756272401433694
199,2024-10-30,New York Knicks,0.8362068965517236,0.0788530465949821
200,2024-10-30,Oklahoma City Thunder,0.357758620689655,1.0
201,2024-10-30,Orlando Magic,0.4999999999999996,0.4408602150537632
202,2024-10-30,Philadelphia 76ers,0.2715517241379309,0.2007168458781364
203,2024-10-30,Phoenix Suns,0.4870689655172412,0.3906810035842295
204,2024-10-30,Portland Trail Blazers,0.3017241379310344,0.2222222222222223
205,2024-10-30,Sacramento Kings,0.6637931034482755,0.3512544802867382
206,2024-10-30,San Antonio Spurs,0.1767241379310342,0.2544802867383515
207,2024-10-30,Toronto Raptors,0.4784482758620687,0.0
208,2024-10-30,Utah Jazz,0.0,0.07168458781362
209,2024-10-30,Washington Wizards,0.5474137931034483,0.0609318996415771
210,2024-10-31,Atlanta Hawks,0.5703125000000001,0.0215053763440863
211,2024-10-31,Boston Celtics,0.9882812499999996,0.2759856630824373
212,2024-10-31,Brooklyn Nets,0.7148437499999997,0.1075268817204301
213,2024-10-31,Charlotte Hornets,0.8085937499999999,0.0179211469534049
214,2024-10-31,Chicago Bulls,0.2890625000000001,0.3870967741935481
215,2024-10-31,Cleveland Cavaliers,1.0,0.4838709677419354
216,2024-10-31,Dallas Mavericks,0.5507812500000001,0.2939068100358423
217,2024-10-31,Denver Nuggets,0.5390624999999997,0.1505376344086022
218,2024-10-31,Detroit Pistons,0.46484375,0.1935483870967743
219,2024-10-31,Golden State Warriors,0.8124999999999997,0.7455197132616485
220,2024-10-31,Houston Rockets,0.6328124999999999,0.3870967741935481
221,2024-10-31,Indiana Pacers,0.4492187499999998,0.1469534050179214
222,2024-10-31,LA Clippers,0.4960937499999999,0.3727598566308244
223,2024-10-31,Los Angeles Lakers,0.66015625,0.0752688172043013
224,2024-10-31,Memphis Grizzlies,0.6054687499999998,0.2114695340501793
