Team,Year,Odds Before Season,Odds Before PO,Champion
Chicago Bulls,1997,+100,-200,** WINNER **
Utah Jazz,1997,+1800,+700,
Houston Rockets,1997,+800,+1200,
Miami Heat,1997,+1500,+1000,
Los Angeles Lakers,1997,+500,+1200,
Seattle SuperSonics,1997,+600,+1200,
New York Knicks,1997,+800,+1500,
Atlanta Hawks,1997,+2000,+1800,
Detroit Pistons,1997,+5000,+2200,
Orlando Magic,1997,+1500,+3000,
Phoenix Suns,1997,+3500,+3500,
Charlotte Hornets,1997,+5000,+3500,
Portland Trail Blazers,1997,+3000,+4000,
Minnesota Timberwolves,1997,+15000,+6000,
Washington Bullets,1997,+4000,+10000,
Los Angeles Clippers,1997,+10000,+15000,
Indiana Pacers,1997,+1200,,
San Antonio Spurs,1997,+1500,,
Cleveland Cavaliers,1997,+6000,,
Dallas Mavericks,1997,+6000,,
Sacramento Kings,1997,+6000,,
Denver Nuggets,1997,+7000,,
Golden State Warriors,1997,+7000,,
Milwaukee Bucks,1997,+7000,,
New Jersey Nets,1997,+7000,,
Boston Celtics,1997,+10000,,
Philadelphia 76ers,1997,+20000,,
Toronto Raptors,1997,+30000,,
Vancouver Grizzlies,1997,+50000,,
Chicago Bulls,1998,+140,+140,** WINNER **
Utah Jazz,1998,+600,+450,
Los Angeles Lakers,1998,+700,+500,
Indiana Pacers,1998,+2500,+800,
Seattle SuperSonics,1998,+800,+500,
Miami Heat,1998,+1200,+800,
San Antonio Spurs,1998,+800,+1500,
Phoenix Suns,1998,+1800,+1500,
New York Knicks,1998,+1000,+3000,
Charlotte Hornets,1998,+1800,+3000,
Houston Rockets,1998,+1200,+3500,
Atlanta Hawks,1998,+1500,+4000,
Portland Trail Blazers,1998,+2500,+5000,
Cleveland Cavaliers,1998,+6000,+10000,
Minnesota Timberwolves,1998,+6000,+10000,
New Jersey Nets,1998,+15000,+20000,
Detroit Pistons,1998,+1500,,
Orlando Magic,1998,+2000,,
Washington Wizards,1998,+2500,,
Milwaukee Bucks,1998,+7500,,
Boston Celtics,1998,+10000,,
Dallas Mavericks,1998,+10000,,
Los Angeles Clippers,1998,+10000,,
Philadelphia 76ers,1998,+10000,,
Toronto Raptors,1998,+10000,,
Golden State Warriors,1998,+15000,,
Sacramento Kings,1998,+15000,,
Denver Nuggets,1998,+20000,,
Vancouver Grizzlies,1998,+30000,,
San Antonio Spurs,1999,+450,+350,** WINNER **
New York Knicks,1999,+500,+3000,
Indiana Pacers,1999,+450,+600,
Portland Trail Blazers,1999,+3000,+500,
Utah Jazz,1999,+350,+400,
Miami Heat,1999,+500,+700,
Los Angeles Lakers,1999,+300,+1000,
Atlanta Hawks,1999,+1500,+1000,
Orlando Magic,1999,+3000,+1000,
Houston Rockets,1999,+500,+1200,
Detroit Pistons,1999,+3500,+2000,
Phoenix Suns,1999,+2500,+4000,
Philadelphia 76ers,1999,+10000,+4000,
Milwaukee Bucks,1999,+6000,+6000,
Minnesota Timberwolves,1999,+4000,+10000,
Sacramento Kings,1999,+20000,+10000,
Seattle SuperSonics,1999,+1200,,
Charlotte Hornets,1999,+3000,,
Cleveland Cavaliers,1999,+4000,,
New Jersey Nets,1999,+5000,,
Washington Wizards,1999,+6000,,
Boston Celtics,1999,+7500,,
Chicago Bulls,1999,+10000,,
Dallas Mavericks,1999,+20000,,
Golden State Warriors,1999,+20000,,
Denver Nuggets,1999,+30000,,
Los Angeles Clippers,1999,+30000,,
Toronto Raptors,1999,+30000,,
Vancouver Grizzlies,1999,+30000,,
Los Angeles Lakers,2000,+400,-125,** WINNER **
Indiana Pacers,2000,+1000,+700,
Portland Trail Blazers,2000,+350,+500,
Miami Heat,2000,+800,+800,
New York Knicks,2000,+800,+1000,
Utah Jazz,2000,+800,+1000,
San Antonio Spurs,2000,+500,+1200,
Minnesota Timberwolves,2000,+4000,+1500,
Charlotte Hornets,2000,+1500,+2500,
Philadelphia 76ers,2000,+4000,+2500,
Phoenix Suns,2000,+1500,+3000,
Toronto Raptors,2000,+6000,+3000,
Detroit Pistons,2000,+3000,+5000,
Milwaukee Bucks,2000,+3500,+7500,
Seattle SuperSonics,2000,+5000,+7500,
Sacramento Kings,2000,+3000,+10000,
Atlanta Hawks,2000,+1500,,
Houston Rockets,2000,+1500,,
Cleveland Cavaliers,2000,+4000,,
New Jersey Nets,2000,+4000,,
Washington Wizards,2000,+7500,,
Boston Celtics,2000,+10000,,
Golden State Warriors,2000,+10000,,
Orlando Magic,2000,+10000,,
Dallas Mavericks,2000,+15000,,
Chicago Bulls,2000,+20000,,
Denver Nuggets,2000,+20000,,
Los Angeles Clippers,2000,+25000,,
Vancouver Grizzlies,2000,+25000,,
Los Angeles Lakers,2001,+180,+300,** WINNER **
Philadelphia 76ers,2001,+1800,+700,
San Antonio Spurs,2001,+600,+200,
Sacramento Kings,2001,+3500,+700,
Milwaukee Bucks,2001,+2200,+1000,
Portland Trail Blazers,2001,+600,+1200,
Miami Heat,2001,+1800,+1200,
Utah Jazz,2001,+1500,+1500,
Dallas Mavericks,2001,+7500,+1800,
New York Knicks,2001,+700,+2200,
Phoenix Suns,2001,+1500,+4000,
