,Team,Off_Rating,Def_Rating,Year,NBA Champion,Normalized_Off_Rating,Normalized_Def_Rating,Contender,Team,Off_Rating,Def_Rating,Year,Normalized_Off_Rating,Normalized_Def_Rating,Contender at Christmas
0,Atlanta Hawks,106.4,100.3,1996,False,0.5488721804511282,0.905172413793104,True,Atlanta Hawks,103.6,100.3,1997.0,0.6611111111111106,0.5490196078431377,False
1,Boston Celtics,102.9,110.1,1996,False,0.2857142857142863,0.0603448275862071,False,Boston Celtics,99.0,100.4,1997.0,0.4055555555555554,0.5424836601307188,False
2,Charlotte Hornets,109.1,107.1,1996,False,0.7518796992481197,0.3189655172413796,False,Charlotte Hornets,103.8,102.4,1997.0,0.6722222222222219,0.4117647058823528,False
3,Chicago Bulls,112.4,100.7,1996,True,1.0,0.8706896551724137,True,Chicago Bulls,100.6,94.0,1997.0,0.49444444444444396,0.9607843137254906,True
4,Cleveland Cavaliers,102.7,100.8,1996,False,0.2706766917293237,0.8620689655172418,False,Cleveland Cavaliers,98.4,93.5,1997.0,0.3722222222222224,0.9934640522875821,False
5,Dallas Mavericks,99.5,106.0,1996,False,0.0300751879699252,0.4137931034482758,False,Dallas Mavericks,96.9,106.9,1997.0,0.28888888888888903,0.11764705882352922,False
6,Denver Nuggets,103.1,109.7,1996,False,0.3007518796992479,0.0948275862068961,False,Denver Nuggets,96.7,108.7,1997.0,0.2777777777777778,0.0,False
7,Detroit Pistons,108.5,102.6,1996,False,0.7067669172932329,0.7068965517241386,True,Detroit Pistons,99.3,97.3,1997.0,0.4222222222222219,0.7450980392156867,False
8,Golden State Warriors,105.3,110.3,1996,False,0.4661654135338344,0.0431034482758621,False,Golden State Warriors,91.7,102.3,1997.0,0.0,0.41830065359477164,False
9,Houston Rockets,107.5,102.8,1996,False,0.6315789473684209,0.6896551724137934,True,Houston Rockets,107.3,103.2,1997.0,0.8666666666666664,0.3594771241830066,False
10,Indiana Pacers,104.2,102.9,1996,False,0.3834586466165416,0.6810344827586203,False,Indiana Pacers,104.7,98.4,1997.0,0.7222222222222222,0.6732026143790849,True
11,Los Angeles Clippers,103.5,106.2,1996,False,0.3308270676691731,0.3965517241379307,False,Los Angeles Clippers,98.6,107.2,1997.0,0.38333333333333286,0.0980392156862745,False
12,Los Angeles Lakers,106.4,102.3,1996,False,0.5488721804511282,0.7327586206896555,False,Los Angeles Lakers,109.1,100.1,1997.0,0.9666666666666662,0.5620915032679745,True
13,Miami Heat,105.2,99.2,1996,False,0.4586466165413536,1.0,False,Miami Heat,106.1,102.9,1997.0,0.7999999999999995,0.3790849673202613,False
14,Milwaukee Bucks,104.7,106.7,1996,False,0.4210526315789476,0.3534482758620686,False,Milwaukee Bucks,100.2,100.3,1997.0,0.4722222222222222,0.5490196078431377,False
15,Minnesota Timberwolves,103.9,105.5,1996,False,0.3609022556390983,0.4568965517241379,False,Minnesota Timberwolves,103.8,104.4,1997.0,0.6722222222222219,0.2810457516339868,False
16,New Jersey Nets,102.4,107.2,1996,False,0.2481203007518803,0.3103448275862065,False,New Jersey Nets,103.3,101.0,1997.0,0.6444444444444442,0.5032679738562094,False
17,New York Knicks,102.9,99.5,1996,False,0.2857142857142863,0.974137931034483,False,New York Knicks,100.2,93.4,1997.0,0.4722222222222222,1.0,False
18,Orlando Magic,103.8,104.2,1996,False,0.3533834586466164,0.5689655172413791,False,Orlando Magic,102.2,104.7,1997.0,0.5833333333333334,0.2614379084967321,False
19,Philadelphia 76ers,102.6,109.5,1996,False,0.2631578947368418,0.1120689655172412,False,Philadelphia 76ers,98.7,104.6,1997.0,0.3888888888888889,0.26797385620915093,False
20,Phoenix Suns,108.0,107.1,1996,False,0.669172932330827,0.3189655172413796,False,Phoenix Suns,104.4,100.6,1997.0,0.7055555555555557,0.529411764705883,False
21,Portland Trail Blazers,106.3,102.1,1996,False,0.5413533834586464,0.7500000000000007,False,Portland Trail Blazers,102.9,99.2,1997.0,0.6222222222222223,0.6209150326797387,False
22,Sacramento Kings,102.7,107.0,1996,False,0.2706766917293237,0.3275862068965516,False,Sacramento Kings,99.6,104.0,1997.0,0.43888888888888844,0.30718954248366037,False
23,San Antonio Spurs,102.1,110.8,1996,False,0.2255639097744359,0.0,False,San Antonio Spurs,100.6,98.8,1997.0,0.49444444444444396,0.6470588235294122,False
24,Seattle SuperSonics,109.6,101.0,1996,False,0.7894736842105257,0.8448275862068967,True,Seattle SuperSonics,109.7,101.3,1997.0,1.0,0.48366013071895475,True
25,Toronto Raptors,102.9,106.4,1996,False,0.2857142857142863,0.3793103448275856,False,Toronto Raptors,98.0,107.2,1997.0,0.34999999999999987,0.0980392156862745,False
26,Utah Jazz,112.4,102.6,1996,False,1.0,0.7068965517241386,True,Utah Jazz,105.9,102.4,1997.0,0.7888888888888891,0.4117647058823528,False
27,Vancouver Grizzlies,99.1,110.1,1996,False,0.0,0.0603448275862071,False,Vancouver Grizzlies,98.6,105.7,1997.0,0.38333333333333286,0.1960784313725491,False
28,Washington Bullets,105.2,103.7,1996,False,0.4586466165413536,0.6120689655172412,False,Washington Wizards,103.3,101.3,1997.0,0.6444444444444442,0.48366013071895475,False
29,Atlanta Hawks,106.4,100.3,1997,False,0.5488721804511282,0.905172413793104,True,Atlanta Hawks,103.8,105.0,1999.0,0.7972972972972973,0.12096774193548376,False
30,Boston Celtics,102.9,110.1,1997,False,0.2857142857142863,0.0603448275862071,False,Boston Celtics,101.8,103.1,1999.0,0.6621621621621621,0.2741935483870971,False
31,Charlotte Hornets,109.1,107.1,1997,False,0.7518796992481197,0.3189655172413796,False,Charlotte Hornets,101.8,96.0,1999.0,0.6621621621621621,0.8467741935483867,True
32,Chicago Bulls,112.4,100.7,1997,True,1.0,0.8706896551724137,True,Chicago Bulls,92.0,104.2,1999.0,0.0,0.18548387096774166,False
33,Cleveland Cavaliers,102.7,100.8,1997,False,0.2706766917293237,0.8620689655172418,False,Cleveland Cavaliers,99.0,102.4,1999.0,0.4729729729729731,0.33064516129032195,False
34,Dallas Mavericks,99.5,106.0,1997,False,0.0300751879699252,0.4137931034482758,False,Dallas Mavericks,101.2,105.1,1999.0,0.6216216216216219,0.11290322580645207,False
35,Denver Nuggets,103.1,109.7,1997,False,0.3007518796992479,0.0948275862068961,False,Denver Nuggets,100.8,103.0,1999.0,0.5945945945945945,0.2822580645161289,False
36,Detroit Pistons,108.5,102.6,1997,False,0.7067669172932329,0.7068965517241386,True,Detroit Pistons,102.9,102.5,1999.0,0.736486486486487,0.32258064516129015,False
37,Golden State Warriors,105.3,110.3,1997,False,0.4661654135338344,0.0431034482758621,False,Golden State Warriors,98.3,105.4,1999.0,0.42567567567567555,0.08870967741935432,False
38,Houston Rockets,107.5,102.8,1997,False,0.6315789473684209,0.6896551724137934,True,Houston Rockets,100.0,101.8,1999.0,0.5405405405405407,0.37903225806451624,False
39,Indiana Pacers,104.2,102.9,1997,False,0.3834586466165416,0.6810344827586203,False,Indiana Pacers,105.7,98.9,1999.0,0.925675675675676,0.6129032258064508,True
40,Los Angeles Clippers,103.5,106.2,1997,False,0.3308270676691731,0.3965517241379307,False,Los Angeles Clippers,94.1,101.6,1999.0,0.14189189189189153,0.39516129032258096,False
41,Los Angeles Lakers,106.4,102.3,1997,False,0.5488721804511282,0.7327586206896555,False,Los Angeles Lakers,102.0,94.1,1999.0,0.6756756756756758,1.0,True
42,Miami Heat,105.2,99.2,1997,False,0.4586466165413536,1.0,False,Miami Heat,103.1,99.6,1999.0,0.7499999999999998,0.556451612903226,True
43,Milwaukee Bucks,104.7,106.7,1997,False,0.4210526315789476,0.3534482758620686,False,Milwaukee Bucks,106.8,105.8,1999.0,1.0,0.05645161290322598,False
44,Minnesota Timberwolves,103.9,105.5,1997,False,0.3609022556390983,0.4568965517241379,False,Minnesota Timberwolves,101.4,101.2,1999.0,0.6351351351351356,0.4274193548387093,False
45,New Jersey Nets,102.4,107.2,1997,False,0.2481203007518803,0.3103448275862065,False,New Jersey Nets,99.4,103.3,1999.0,0.5000000000000004,0.25806451612903236,False
