,Year,Week 2,Week 4,Week 6,Week 8,Week 10,Week 12,Week 14,Week 16,Week 18,Week 20,Week 22,Week 24
0,1997,6,6,6,6,7,6,5,4,5,6,8,6
1,1998,5,3,3,6,6,9,12,13,13,10,9,9
2,1999,,,,,,,,,,,,
3,2000,6,9,8,6,7,5,5,6,7,11,12,12
4,2001,5,3,3,3,5,5,5,5,5,5,5,6
5,2002,3,7,8,3,3,4,4,4,3,3,3,3
6,2003,6,6,10,8,9,8,7,8,6,6,10,9
7,2004,2,1,0,0,0,0,0,0,1,0,0,0
8,2005,4,1,1,1,1,1,1,1,2,2,3,3
9,2006,8,6,4,5,5,4,5,6,5,6,5,6
10,2007,7,1,3,3,3,2,2,2,2,2,2,2
11,2008,10,1,2,3,5,4,5,5,5,4,5,4
12,2009,4,6,6,6,5,6,5,7,9,9,9,9
13,2010,11,12,9,9,10,10,9,10,9,10,10,11
14,2011,4,7,6,6,6,5,5,7,6,6,6,6
15,2012,,,,,,,,,,,,
16,2013,7,5,5,4,3,5,3,4,4,4,5,5
17,2014,2,5,4,2,3,3,2,3,5,4,4,4
18,2015,5,6,8,8,9,10,11,9,11,10,10,11
19,2016,4,2,2,2,2,2,2,3,2,2,3,3
20,2017,4,4,7,7,5,2,3,2,3,2,2,3
21,2018,3,4,3,3,2,2,2,3,3,3,3,4
22,2019,5,4,6,8,9,10,9,7,9,7,9,11
23,2020,,,,,,,,,,,,
24,2021,,,,,,,,,,,,
25,2022,8,5,3,4,4,4,9,9,12,12,12,12
26,2023,2,4,5,7,9,9,9,7,6,7,9,11
27,2024,5,3,6,6,7,8,9,5,7,6,6,6
